No.,Feedstock digestate,"C,in (wt%)","H,in (wt%)","N,in (wt%)","S,in (wt%)","O,in (wt%)","VM,in (%)","FC,in (%)","Ash,in (%)",THTC(degC),tres(h),Solid load (%),"HHV,in (MJ/kg)",Yield (% dry basis),"C,out (wt%)","H,out (wt%)","N,out (wt%)","S,out (wt%)","O,out (wt%)","VM,out (%)","FC,out (%)","Ash,out (%)","HHV,out (MJ/kg)",Type,Ref.
1,OHWD,53.4,6.2,3,0.3,37.1,54.6,9.6,35.8,170,2,15,13.4,85.9,54.07,5.74,2.71,0.32,37.16,49.72,12.98,37.3,20.5,Organics,Cao2019
2,OHWD,53.42679128,6.230529595,2.959501558,0.31152648,37.07165109,54.6,9.6,35.8,170,5,15,13.4,80.5,53.48,5.46,2.48,0.17,38.41,47.84,12.56,39.6,19.7,Organics,Cao2019
3,OHWD,53.42679128,6.230529595,2.959501558,0.31152648,37.07165109,54.6,9.6,35.8,190,2,15,13.4,80.4,55.23,5.48,2.42,0.32,36.55,48.38,13.72,37.9,20.7,Organics,Cao2019
4,OHWD,53.42679128,6.230529595,2.959501558,0.31152648,37.07165109,54.6,9.6,35.8,190,5,15,13.4,75.2,55.44,5.36,2.85,0.17,36.18,45.31,14.39,40.3,20.5,Organics,Cao2019
5,OHWD,53.42679128,6.230529595,2.959501558,0.31152648,37.07165109,54.6,9.6,35.8,210,2,15,13.4,72.2,55.9,5.13,2.74,0.17,36.07,44.4,14.1,41.5,20.4,Organics,Cao2019
6,OHWD,53.42679128,6.230529595,2.959501558,0.31152648,37.07165109,54.6,9.6,35.8,210,5,15,13.4,70.4,59.43,5.34,2.84,0.33,32.05,43.37,16.53,40.1,22.4,Organics,Cao2019
7,OHWD,53.42679128,6.230529595,2.959501558,0.31152648,37.07165109,54.6,9.6,35.8,230,2,15,13.4,62.9,60.54,5.23,3.06,0.36,30.81,39.46,16.04,44.5,22.3,Organics,Cao2019
8,OHWD,53.42679128,6.230529595,2.959501558,0.31152648,37.07165109,54.6,9.6,35.8,230,5,15,13.4,57.8,64.19,5.01,3.71,0.37,26.72,36.17,17.73,46.1,23.7,Organics,Cao2019
9,OHWD,53.42679128,6.230529595,2.959501558,0.31152648,37.07165109,54.6,9.6,35.8,250,2,15,13.4,55,65.96,5,3.46,0.38,25.19,34.68,17.32,48,24.4,Organics,Cao2019
10,OHWD,53.42679128,6.230529595,2.959501558,0.31152648,37.07165109,54.6,9.6,35.8,250,5,15,13.4,54.5,67.11,5.08,3.76,0.38,23.68,35.06,18.14,46.8,25.2,Organics,Cao2019
11,CMD,50.53380783,5.931198102,2.372479241,0.474495848,40.68801898,67.3,17,15.7,170,2,15,17,90.6,51.84,5.71,2.5,0.48,39.48,64.76,19.24,16,20.4,Organics,Cao2019
12,CMD,50.53380783,5.931198102,2.372479241,0.474495848,40.68801898,67.3,17,15.7,170,5,15,17,86.7,52.81,5.63,2.63,0.48,38.44,63.13,20.37,16.5,20.7,Organics,Cao2019
13,CMD,50.53380783,5.931198102,2.372479241,0.474495848,40.68801898,67.3,17,15.7,190,2,15,17,81.4,54.59,5.43,3.02,0.48,36.47,61.77,21.03,17.2,21.3,Organics,Cao2019
14,CMD,50.53380783,5.931198102,2.372479241,0.474495848,40.68801898,67.3,17,15.7,190,5,15,17,78.3,55.29,5.71,2.92,0.61,35.48,59.67,22.63,17.7,21.9,Organics,Cao2019
15,CMD,50.53380783,5.931198102,2.372479241,0.474495848,40.68801898,67.3,17,15.7,210,2,15,17,73.2,57.2,5.61,3.17,0.49,33.54,58.63,23.37,18,22.7,Organics,Cao2019
16,CMD,50.53380783,5.931198102,2.372479241,0.474495848,40.68801898,67.3,17,15.7,210,5,15,17,68.3,58.34,5.19,3.46,0.49,32.51,56.55,24.35,19.1,22.6,Organics,Cao2019
17,CMD,50.53380783,5.931198102,2.372479241,0.474495848,40.68801898,67.3,17,15.7,230,2,15,17,61.7,60.3,5.06,3.54,0.63,30.47,51.64,27.56,20.8,23.3,Organics,Cao2019
18,CMD,50.53380783,5.931198102,2.372479241,0.474495848,40.68801898,67.3,17,15.7,230,5,15,17,53.5,65.5,5.17,4.01,0.65,24.68,47.52,29.88,22.6,25.8,Organics,Cao2019
19,CMD,50.53380783,5.931198102,2.372479241,0.474495848,40.68801898,67.3,17,15.7,250,2,15,17,47.7,66.75,4.97,4.19,0.65,23.43,45.93,30.37,23.7,26.1,Organics,Cao2019
20,CMD,50.53380783,5.931198102,2.372479241,0.474495848,40.68801898,67.3,17,15.7,250,5,15,17,47.3,68.86,5.12,4.34,0.53,21.16,44.59,31.51,23.9,27.2,Organics,Cao2019
21,ECD,56.52173913,6.451612903,2.945301543,0.420757363,33.66058906,55.9,15.4,28.7,170,2,15,16.4,91,54.61,5.78,2.75,0.41,36.45,55.32,17.38,27.3,21.3,Biomass,Cao2019
22,ECD,56.52173913,6.451612903,2.945301543,0.420757363,33.66058906,55.9,15.4,28.7,170,5,15,16.4,90,55.14,5.69,2.78,0.42,35.97,54.07,17.93,28,21.4,Biomass,Cao2019
23,ECD,56.52173913,6.451612903,2.945301543,0.420757363,33.66058906,55.9,15.4,28.7,190,2,15,16.4,83.9,56.96,5.63,2.95,0.56,33.9,51.83,19.27,28.9,22.1,Biomass,Cao2019
24,ECD,56.52173913,6.451612903,2.945301543,0.420757363,33.66058906,55.9,15.4,28.7,190,5,15,16.4,82.1,56.98,5.5,3.1,0.42,33.99,50.34,20.66,29,22,Biomass,Cao2019
25,ECD,56.52173913,6.451612903,2.945301543,0.420757363,33.66058906,55.9,15.4,28.7,210,2,15,16.4,77.6,59.28,5.61,3.17,0.43,31.51,49.56,20.04,30.4,23.1,Biomass,Cao2019
26,ECD,56.52173913,6.451612903,2.945301543,0.420757363,33.66058906,55.9,15.4,28.7,210,5,15,16.4,74.7,61.45,5.51,3.33,0.43,29.28,47.82,21.28,30.9,24,Biomass,Cao2019
27,ECD,56.52173913,6.451612903,2.945301543,0.420757363,33.66058906,55.9,15.4,28.7,230,2,15,16.4,67.9,60.53,5.19,3.56,0.45,30.27,45.5,21.91,32.6,23.2,Biomass,Cao2019
28,ECD,56.52173913,6.451612903,2.945301543,0.420757363,33.66058906,55.9,15.4,28.7,230,5,15,16.4,60.4,64.42,5.21,3.99,0.61,25.77,41.92,23.28,34.8,24.9,Biomass,Cao2019
29,ECD,56.52173913,6.451612903,2.945301543,0.420757363,33.66058906,55.9,15.4,28.7,250,2,15,16.4,54.6,65.62,5.05,3.94,0.47,24.92,39.75,23.75,36.5,25.1,Biomass,Cao2019
30,ECD,56.52173913,6.451612903,2.945301543,0.420757363,33.66058906,55.9,15.4,28.7,250,5,15,16.4,51.1,67.52,4.98,4.5,0.48,22.51,37.94,24.26,37.8,25.9,Biomass,Cao2019
31,AGR,52.5,6.071428571,3.80952381,0.357142857,37.26190476,70.2,13.8,16,150,1,20,17.8,82.7,55.53,6.03,3.89,0,34.55,62.12,17.48,20.4,17.9,Biomass,Parmar2019
32,AGR,52.5,6.071428571,3.80952381,0.357142857,37.26190476,70.2,13.8,16,200,1,10,17.8,60,61.03,8.1,3.64,0.12,27.11,69.4,15.9,14.7,21.6,Biomass,Parmar2019
33,AGR,52.5,6.071428571,3.80952381,0.357142857,37.26190476,70.2,13.8,16,200,1,20,17.8,67.8,60.05,7.09,3.9,0.12,28.84,67.4,17.3,15.3,20.7,Biomass,Parmar2019
34,AGR,52.5,6.071428571,3.80952381,0.357142857,37.26190476,70.2,13.8,16,200,1,30,17.8,80.1,61.24,7.3,4.19,0,27.27,66.7,17,16.3,20.9,Biomass,Parmar2019
