iteration,score,revenue,co2,process
1,0.5775719225,0.254456155,1.4096,htc
2,0.56126988,0.25566024,1.3782,htc
3,0.5357712975,0.246957405,1.3185,htc
4,0.533469105,0.24636179,1.3133,htc
5,0.52960483,0.24649034,1.3057,htc
6,0.5288826825,0.24643463499999999,1.3042,htc
7,0.52678475,0.24553049999999998,1.2991,htc
8,0.5236984275000001,0.24680314499999997,1.2942,htc
9,0.5229585175,0.247882965,1.2938,htc
10,0.5229585175,0.247882965,1.2938,htc
11,0.5229585175,0.247882965,1.2938,htc
12,0.5229585175,0.247882965,1.2938,htc
13,0.5229585175,0.247882965,1.2938,htc
14,0.5229585175,0.247882965,1.2938,htc
15,0.5229585175,0.247882965,1.2938,htc
16,0.5229585175,0.247882965,1.2938,htc
17,0.5229585175,0.247882965,1.2938,htc
18,0.5229585175,0.247882965,1.2938,htc
19,0.5229585175,0.247882965,1.2938,htc
20,0.5229585175,0.247882965,1.2938,htc
