iteration,particle_id,process_index,parameters,revenue,co2_emission,score,pbest_position,pbest_score,particle_results
0,0,1,[1],0.00186826,0.5189,0.25851587000000004,[1],0.25851587000000004,"{'raw': {'electricity': -2.1823, 'CO2_emission': 51.8949}, 'products': {'electricity': -0.0218}, 'emissions': {'CO2_emission': 0.5189}}"
0,1,0,"[0, 158, 0.5]",0.09530697,0.4006,0.152646515,"[0, 211, 0.41000000000000003]",0.152646515,"{'raw': {'char': 11.6833, 'electricity': -68.8632, 'CO2_emission': 26.7068, 'char_HHV': np.float64(9.036), 'char_kg_per_kg_wet': 0.1752}, 'products': {'char': np.float64(1.584), 'electricity': -1.0329}, 'emissions': {'CO2_emission': 0.4006}}"
0,2,0,"[0, 158, 0.5]",0.10522245999999999,0.5326,0.21368876999999997,"[0, 197, 0.11]",0.21368876999999997,"{'raw': {'char': 3.2192, 'electricity': -80.4028, 'CO2_emission': 35.5055, 'char_HHV': np.float64(9.024), 'char_kg_per_kg_wet': 0.0483}, 'products': {'char': np.float64(0.436), 'electricity': -1.206}, 'emissions': {'CO2_emission': 0.5326}}"
0,3,0,"[0, 158, 0.5]",0.09387578,0.597,0.25156211,"[0, 460, 0.25]",0.25156211,"{'raw': {'char': 3.43, 'electricity': -71.3536, 'CO2_emission': 39.8001, 'char_HHV': np.float64(9.76), 'char_kg_per_kg_wet': 0.0515}, 'products': {'char': np.float64(0.502), 'electricity': -1.0703}, 'emissions': {'CO2_emission': 0.597}}"
0,4,0,"[0, 158, 0.5]",0.09365296,0.3683,0.13732352,"[0, 156, 0.47]",0.13732352,"{'raw': {'char': 14.5466, 'electricity': -66.357, 'CO2_emission': 24.5562, 'char_HHV': np.float64(8.928), 'char_kg_per_kg_wet': 0.2182}, 'products': {'char': np.float64(1.948), 'electricity': -0.9954}, 'emissions': {'CO2_emission': 0.3683}}"
1,0,1,[1],0.00186826,0.5189,0.25851587000000004,[1],0.25851587000000004,"{'raw': {'electricity': -2.1823, 'CO2_emission': 51.8949}, 'products': {'electricity': -0.0218}, 'emissions': {'CO2_emission': 0.5189}}"
1,1,0,"[0, 158, 0.5]",0.09556407,0.3959,0.150167965,"[0, 190, 0.43000000000000005]",0.150167965,"{'raw': {'char': 12.7495, 'electricity': -68.5914, 'CO2_emission': 26.391, 'char_HHV': np.float64(9.013), 'char_kg_per_kg_wet': 0.1912}, 'products': {'char': np.float64(1.724), 'electricity': -1.0289}, 'emissions': {'CO2_emission': 0.3959}}"
1,2,0,"[0, 158, 0.5]",0.09226461999999999,0.3471,0.12741769000000003,"[0, 164, 0.5]",0.12741769000000003,"{'raw': {'char': 15.326, 'electricity': -64.9155, 'CO2_emission': 23.1412, 'char_HHV': np.float64(8.952), 'char_kg_per_kg_wet': 0.2299}, 'products': {'char': np.float64(2.058), 'electricity': -0.9737}, 'emissions': {'CO2_emission': 0.3471}}"
1,3,0,"[0, 158, 0.5]",0.090752015,0.4568,0.18302399249999998,"[0, 325, 0.42000000000000004]",0.18302399249999998,"{'raw': {'char': 9.3367, 'electricity': -66.3046, 'CO2_emission': 30.4506, 'char_HHV': np.float64(9.188), 'char_kg_per_kg_wet': 0.1401}, 'products': {'char': np.float64(1.287), 'electricity': -0.9946}, 'emissions': {'CO2_emission': 0.4568}}"
1,4,0,"[0, 158, 0.5]",0.09365296,0.3683,0.13732352,"[0, 156, 0.47]",0.13732352,"{'raw': {'char': 14.5466, 'electricity': -66.357, 'CO2_emission': 24.5562, 'char_HHV': np.float64(8.928), 'char_kg_per_kg_wet': 0.2182}, 'products': {'char': np.float64(1.948), 'electricity': -0.9954}, 'emissions': {'CO2_emission': 0.3683}}"
